Date : 2025-08-08 13:18:35
Directory : d:\Code Files\vscode
Total : 481 files,  67822 codes, 24439 comments, 10322 blanks, all 102583 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         72 |     31,710 |     21,981 |      6,441 |     60,132 |
| JSON               |         59 |     16,600 |          0 |         50 |     16,650 |
| Python             |        194 |      4,643 |        779 |      1,404 |      6,826 |
| C                  |          5 |      2,831 |        250 |        637 |      3,718 |
| YAML               |          5 |      2,505 |         12 |        157 |      2,674 |
| CMake Cache        |          4 |      1,965 |          0 |        552 |      2,517 |
| Markdown           |         15 |      1,655 |          0 |        103 |      1,758 |
| CMake              |         36 |      1,317 |         98 |        302 |      1,717 |
| XML                |         16 |      1,094 |          0 |         27 |      1,121 |
| HTML               |         26 |      1,041 |        823 |        103 |      1,967 |
| PostCSS            |          4 |        648 |         10 |         89 |        747 |
| Log                |          9 |        598 |          0 |         82 |        680 |
| Makefile           |          3 |        351 |        156 |        171 |        678 |
| Java               |          6 |        285 |        212 |         64 |        561 |
| MS SQL             |          5 |        204 |         35 |         68 |        307 |
| PowerShell         |          5 |        139 |         48 |         24 |        211 |
| JavaScript         |          4 |         62 |          7 |         11 |         80 |
| TypeScript         |          4 |         58 |          5 |         15 |         78 |
| Batch              |          4 |         44 |          5 |          5 |         54 |
| LaTeX              |          1 |         37 |          0 |         10 |         47 |
| JSON with Comments |          1 |         22 |         18 |          6 |         46 |
| BibTeX             |          1 |          7 |          0 |          0 |          7 |
| pip requirements   |          1 |          3 |          0 |          1 |          4 |
| Docker             |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        481 |     67,822 |     24,439 |     10,322 |    102,583 |
| CCpp                                                                                                                                       |        201 |     58,362 |     22,511 |      8,382 |     89,255 |
| CCpp\Data Struct                                                                                                                           |          8 |        597 |      2,664 |        377 |      3,638 |
| CCpp\algorithm                                                                                                                             |         15 |        526 |     13,989 |        363 |     14,878 |
| CCpp\cmake-projects                                                                                                                        |         34 |      7,648 |        222 |        718 |      8,588 |
| CCpp\cmake-projects (Files)                                                                                                                |          1 |         22 |          1 |          6 |         29 |
| CCpp\cmake-projects\build                                                                                                                  |         24 |      7,171 |        209 |        641 |      8,021 |
| CCpp\cmake-projects\build (Files)                                                                                                          |          4 |        739 |         59 |        223 |      1,021 |
| CCpp\cmake-projects\build\.cmake                                                                                                           |          8 |      3,960 |          0 |          7 |      3,967 |
| CCpp\cmake-projects\build\.cmake\api                                                                                                       |          8 |      3,960 |          0 |          7 |      3,967 |
| CCpp\cmake-projects\build\.cmake\api\v1                                                                                                    |          8 |      3,960 |          0 |          7 |      3,967 |
| CCpp\cmake-projects\build\.cmake\api\v1\query                                                                                              |          1 |          1 |          0 |          0 |          1 |
| CCpp\cmake-projects\build\.cmake\api\v1\query\client-vscode                                                                                |          1 |          1 |          0 |          0 |          1 |
